Kalamang_Sentence,English_Translation
Ma sandalbon ladanbona ditamanunggi,He gives his friend shoes and sandals-
Kara gonggungnin.,[They] didn't call you.
Mu owatko afokarat parua.,They over there pluck avocados.
Hari ahat Unyil esun mu he yecie.,Sunday Unyil's father and family will return.
Anahutak owatko melalu reba.,I alone sit over there.
"Ak, ak, ak, suagi wilao laur.","Go seawards, seawards, seawards, there's tuna playing in the sea."
Aknaran anggon ning.,My chest hurts.
Mu he Almaherangga yecieni bot.,They are returning to Halmahera.
Tumun me emun amunat nani mindi bon min.,The child drinks its mother's milk until it sleeps.
Ma emun ambelun neing.,Her mother's nipple is sore.
Mu amdirat Kamburkoa paruo.,They are making a garden at Kambur.
Mustafa esun Kamberarkoa amdirat komaruk.,Mustafa's father is burning a garden patch at Kamberar.
Ma ime rumasakitko amkeit.,She gives birth in the hospital.
An bo jambatanggoa warkin.,I want to go fishing at the dock.
Lenggalenggan se koyet.,My chilli is finished.
"Andain tok repnin, mu he rep.","I didn't get it yet, they did."
Turing Bandain dumang.,A Banda mountain exploded.
Tabuon ang reidak.,There are many turban shells.
An muat siriet mu anggasanara paruotkin.,I ordered them to make my door.
Kewean anggon cicaun weinun.,My house is small too.
Mu sorat erawi ramie lawana erap.,"They caught five fish, five groupers."
Mu Baki Tanggeunggo sairararat koar.,They are diving for lobsters at Baki Tanggeun.
An pinganat waruo ar.,I'm doing the dishes noisily.
In polkayak arunat kowaren.,We scrape the papaya stem.
Ka era rorat arkoni potmeiǃ,You go up to cut one tree!
Ma erat owatko aragadi.,They are sawing a canoe over there.
"An don kang komain, eba an arekmang: adihǃ","I hit a sharp thing, then I screamed: ouch!"
Mu ror suar aremun met kona.,They see a big ironwood tree.
"Ma yumene asokmang, ma tiri.","He is short of breath, he ran."
Ma tangat masak.,She lifts her arm.
Canam leat narorar ba lek sukaun ge.,The man is pulling the goat but the goat doesn't want.
O som yaweba daruar.,"Oh, that person down there is pulling out [our plants]."
Kalis se baratnin; bakbak se kararak.,"It doesn't rain anymore, the containers are dry."
Bal rusat sarie.,The dog is chasing the deer.
Ruslan emuna imolat balare lamerat paruotkin.,"Ruslan's mother is heating banana leaves, she wants to make a ""lamet""."
Urkia balikawuok kuarte bubur posyanduin.,Urkia is cooking mung beans for posyandu porridge.
Baluku me per nekoa tuaruar ma me pasierkonin.,"Eels live in the brackish water, not in sea water."
Sekolatumtum bankun kurangi raman.,The school children have six benches too little.
Mu urap owara pareiri baran.,They follow down the stairs over there.
Tumun me barahalasawe.,That child is too lazy.
"Inininggan ecuan, anbarak ecuan.","We all cried, I cried too."
Som yumene barala mat paruo.,"That person, barala-illness is disturbing him."
Salima emun barangat Kamberarga ruora reidak.,Salima's mother dug a lot of turmeric at Kamberar.
Tuti mu pasa baranggaptenara kuar.,Tuti and family are cooking yellow rice.
